Nom du restaurant,Tags,Adresse,Ville,Numéro de tél
Todaro Brothers,"Restaurants, Italian Restaurants, Caterers",555 2nd Ave,"New York, NY 10016",(212) 532-0633
Seven's Turkish Grill,"Restaurants, Mediterranean Restaurants, Caterers",158 W 72nd St,"New York, NY 10023",(212) 724-4700
Mr. K's,"Restaurants, Chinese Restaurants, Banquet Halls & Reception Facilities",570 Lexington Ave,"New York, NY 10022",(212) 583-1668
Dave & Buster's New York City - Times Square,"Restaurants, American Restaurants, Amusement Places & Arcades",234 W 42nd St 3rd Fl,"New York, NY 10036",(646) 495-2015
Paul & Jimmy's Restaurant,"Restaurants, Italian Restaurants, Family Style Restaurants",123 E 18th St,"New York, NY 10003",(212) 475-9540
Festival Restaurant,"Restaurants, Family Style Restaurants",120 Rivington St,"New York, NY 10002",(212) 995-0154
Bobby Van's Steakhouse - 54th Street,"Restaurants, Steak Houses, American Restaurants",131 E 54th St,"New York, NY 10022",(212) 207-8050
Pig & Whistle Pub Restaurant,"Restaurants, Family Style Restaurants",165 W 47th St,"New York, NY 10036",(212) 302-0112
Johnny Rock,"Restaurants, American Restaurants, Hamburgers & Hot Dogs",930 3rd Ave,"New York, NY 10022",(212) 813-0003
S'mac,"Restaurants, American Restaurants, Caterers",197 1st Ave,"New York, NY 10003",(212) 358-7912
Pita Grill Restaurant,"Restaurants, Family Style Restaurants",69 New St,"New York, NY 10004",(212) 363-2333
Waldy's Wood Fired Pizza & Penne,"Restaurants, Pizza, Caterers",800 Avenue Of The Americas,"New York, NY 10001",(212) 213-5042
Sparks Steak House,"Restaurants, Steak Houses, American Restaurants",210 E 46th St,"New York, NY 10017",(212) 687-4855
Babbo,"Restaurants, Italian Restaurants, Family Style Restaurants",110 Waverly Pl,"New York, NY 10011",(212) 777-0303
Red House,"Restaurants, Chinese Restaurants, Family Style Restaurants",203 E 14th St,"New York, NY 10003",(212) 228-8288
El Presidente Restaurant,"Restaurants, Latin American Restaurants, Caterers",3938 Broadway,"New York, NY 10032",(212) 927-7011
Firefly,"Restaurants, Family Style Restaurants",54 Spring St,"New York, NY 10012",(212) 966-8716
Gramercy Café,"Restaurants, American Restaurants, Coffee Shops",184 3rd Ave,"New York, NY 10003",(212) 982-2121
Restaurant,"Restaurants, African Restaurants, Family Style Restaurants",37 W 43rd St Fl GRD,"New York, NY 10036",(929) 324-3032
Carbone Ristorante Italiano,"Restaurants, Pizza, Italian Restaurants",331 W 38th St,"New York, NY 10018",(212) 290-2625
Planet Hollywood,"Restaurants, Bar & Grills",1540 Broadway,"New York, NY 10036",(212) 333-7827
Bianca,"Restaurants, Family Style Restaurants",5 Bleecker St,"New York, NY 10012",(212) 260-4666
Old Homestead Steakhouse,"Restaurants, Steak Houses, American Restaurants",56 9th Ave,"New York, NY 10011",(212) 242-9040
Il Piccolo Bufalo,"Restaurants, Italian Restaurants, Family Style Restaurants",141 Mulberry St,"New York, NY 10013",(212) 219-9068
Sofia's,"Restaurants, Italian Restaurants, Caterers",143 Mulberry St,"New York, NY 10013",(212) 219-9799
Stout NYC,"Restaurants, American Restaurants, Bars",133 W 33rd St,"New York, NY 10001",(212) 629-6191
Noi Due,"Restaurants, Italian Restaurants, Pizza",143 W 69th St,"New York, NY 10023",(212) 712-2222
The Draft Bar & Restaurant,"Restaurants, Family Style Restaurants",157 Ludlow St,"New York, NY 10002",(212) 777-7708
Frankie's Spuntino,"Restaurants, Italian Restaurants, Sandwich Shops",17 Clinton St,"New York, NY 10002",(212) 253-2303
Pinto Restaurant,"Restaurants, Thai Restaurants, Family Style Restaurants",118 Christopher St,"New York, NY 10014",(212) 366-5455
(1),"Restaurants, Barbecue Restaurants, Vegetarian Restaurants, Dessert Restaurants",118 Christopher St,"New York, NY 10014",(212) 366-5455
Ad,"Restaurants, Brew Pubs, Bars",118 Christopher St,"New York, NY 10014",(212) 366-5455
Ad,"Restaurants, Wine Bars, Bars",118 Christopher St,"New York, NY 10014",(212) 366-5455
(2),"Restaurants, Indian Restaurants, Middle Eastern Restaurants, Asian Restaurants",118 Christopher St,"New York, NY 10014",(212) 366-5455
(1),"Restaurants, Tourist Information & Attractions, Bars, Places Of Interest",118 Christopher St,"New York, NY 10014",(212) 366-5455
Ad,Restaurants,118 Christopher St,"New York, NY 10014",(212) 366-5455
Ad,"Restaurants, Bars",118 Christopher St,"New York, NY 10014",(212) 366-5455
